restId,name,cuisine,aggregate_rating,rating_votes,dining_rating,dining_review_count,delivery_rating,delivery_review_count,timing,people_say,top_dishes,address,location_longitude,location_latitude,url,cost_for_two
12407,Shawarma King,"Street Food, Fast Food, Rolls, Burger",4.3,753,4.3,753.0,4.3,12.2K,10am – 11pm (Today),"Staff Behaviour, Good Crowd, Great Recommendations, Best Places, Polite Staff, Great Taste","Chicken Shawarama, Spicy Chicken, Chicken Chunks, Mojito, Rolls","ABC Junction, Phase 2, Sector 26, Pradhikaran, Nigdi, Pune",73.7646885,18.6491973,https://www.zomato.com/pune/shawarma-king-nigdi,₹300 for two people (approx.)
11014,Apple 5,"Italian, Continental, Chinese, Rolls",4.0,202,4.0,202.0,4.2,2961,11am – 11pm (Today),"Cafe, Good Food, Prices, Good Place, Menu, Ambience","Alfredo Pasta, White Sauce Pasta, Sandwiches, Pizzas, Rice","Shop 2, Sankalp Apartment, Jagtap Dairy, Wakad Road, Pimple Nilakh, Pune",73.7822790071,18.5884770737,https://www.zomato.com/pune/apple-5-pimple-nilakh,₹600 for two people (approx.)
18457702,Rangla Punjab,"North Indian, Chinese, Kebab, Beverages",4.2,1269,4.2,1269.0,3.9,682,12noon – 12midnight (Today),"Punjabi Ambience, Serving Size, Rooftop Ambience, Lovely Ambience, Roof, Staff Service","Rumali Masala Papad, Chicken Lajawab, Mushroom Kabab, Roomali Papad, Rabdi Jalebi, Authentic Punjabi Food","Top Floor, Prime Square Building, Kunal Icon Road, Opposite Dutt Mandir, Pimple Saudagar, Pune",73.7939117476,18.5939883406,https://www.zomato.com/pune/rangla-punjab-pimple-saudagar,"₹1,200 for two people (approx.) Without alcohol"
6505226,Lahorie,"Mughlai, North Indian, Chinese",3.8,430,3.8,430.0,3.5,4153,"11am – 3pm, 6:30pm – 11:30pm (Today)","Good Quantity, Portions, Amazing Food, Awesome Food, Good Food, Good Place","Tandoori Momos, Soya Chaap, Dal Makhni, Chicken Handi, Butter Chicken, Starters","Shop 10, Survey 37/8, Triose Building, Wing C, Pimple Saudagar, Pune",73.8082682714,18.5946795006,https://www.zomato.com/pune/lahorie-pimple-saudagar,₹700 for two people (approx.)
6506962,Bagicha Corner,"Fast Food, Beverages, Ice Cream, Street Food, Shake",4.2,612,4.2,612.0,4.2,167,9am – 12midnight (Today),"Casual Seating Area, Economical, Cozy Ambiance, Pocket Friendly, Polite Staff, Perfect Place","Makai Pattice, Strawberry Juice, Corn Patty, Frankie, Corn Sandwich, Snacks","Shop 2, Block A, Sterling Centre Housing Society 11, MG Road, Pune",73.8790725544,18.5182644184,https://www.zomato.com/pune/bagicha-corner-mg-road,₹500 for two people (approx.)
18435985,Yana Sizzlers,"Chinese, Fast Food, BBQ, Seafood, Jamaican",4.1,318,4.1,318.0,4.0,80,12noon – 11:30pm (Today),"Good Portions, Great Recommendations, Great Ambiance, Prompt Service, Decor, Good Ambience","Vegetarian Sizzler, Marinated Chicken, Cheesy Garlic Bread, Sizzlers, Sauce, Soup","Shop 5 & 25, H 11, Sterling Centre, Moledina Road, Camp Area, Pune",73.8790386915,18.5181038706,https://www.zomato.com/pune/yana-sizzlers-camp-area,"₹1,000 for two people (approx.)"
18375138,Paratha King,"North Indian, Beverages",4.1,434,4.1,434.0,3.9,2138,8am – 11pm (Today),"Casual Seating Area, Reasonable Prices, Prompt Service, Polite Staff, Good Quantity, Awesome Place","Deluxe Veggie Pizza, Punjabi Kulcha, Pizza Parantha, Lassi, Parathas, Thali","13, R.K.Life Space Dev.pvt.ltd., Sr.166/1/1, Pcmc Ward No-87, Wakad, Pune",73.7646540384,18.5985987935,https://www.zomato.com/pune/paratha-king-wakad,₹300 for two people (approx.)
18565285,Bird Valley,"North Indian, Chinese, Continental, Mughlai, Beverages, Ice Cream, Shake, Finger Food",3.9,476,3.9,476.0,3.9,3370,11:30am – 11:30pm (Today),"Family Place, Good Staff, Best Food, Tamper Proof Packaging, Interior, Outdoor Seating","Murgh Nawabi, Chicken Spring Roll, Dal Khichadi, Jeera Rice, Sizzler, Cocktails","Survey 241/1A, Datta Mandir Road, Wakad, Pune",73.7641134839,18.5941557259,https://www.zomato.com/pune/bird-valley-wakad,"₹1,600 for two people (approx.) Without alcohol"
10918,Savali,"South Indian, Fast Food, Chinese, North Indian, Desserts, Beverages, Shake",3.7,466,3.7,466.0,3.9,5775,8am – 11pm (Today),"Family Restaurant, Family Place, Breakfast, Location, Tasty Food, Best Place","Paneer Crispy, Panneer Butter Masala, Masala Papad, Pav Bhaji, Mushroom, Naan","Sant Tukaram Complex, Nigdi Chowk, Opposite Pradhikaran Office, Nigdi, Pune",73.7765062228,18.6580744129,https://www.zomato.com/pune/savali-nigdi,₹650 for two people (approx.)
18594975,Sa Cremee,"Pizza, Italian, Fast Food, Beverages, Shake",4.1,99,4.1,99.0,3.4,105,11:30am – 11:30pm (Today),"Totally Worth it, Pretty Decor, Pocket Friendly, Fancy Crowd, Cafe, Owner","Thick Shakes, Hot Coffee, Ice Creams, Hot Chocolate","Shop 1, Survey 18, Plot 2, Kamla Park Society, Near Bank Of Baroda, Erandwane, Pune",73.8266474381,18.5003781455,https://www.zomato.com/pune/sa-cremee-erandwane,₹400 for two people (approx.)
